grid_position_zero_based,ternary_x,ternary_y,PEA2PbI4_pct,BDAPbI4_pct,FAPbI3_pct,GP_mean_delta_SP_v,GP_posterior_standard_deviation_v
38,0.44,0.13856406460551018,36.0,48.0,16.0,0.031024396233223873,0.0251449795781395
39,0.48,0.20784609690826525,36.0,40.0,24.0,0.03713344808381806,0.02465054267237662
40,0.52,0.27712812921102037,36.0,32.0,32.0,0.04431788715831453,0.02415279862490363
41,0.56,0.34641016151377546,36.00000000000001,23.99999999999999,40.0,0.05212467280294392,0.024415999843639152
42,0.6,0.4156921938165305,36.0,16.000000000000004,48.0,0.0602768906654787,0.025055687865746846
43,0.64,0.48497422611928565,36.0,7.9999999999999964,56.00000000000001,0.06808202914662828,0.025772693334051078
44,0.6799999999999999,0.5542562584220407,35.99999999999999,0.0,64.0,0.07453921725705062,0.02688589100839723
45,0.28,0.0,28.000000000000004,72.0,0.0,0.01825802581889987,0.023100517554927247
46,0.32,0.06928203230275509,28.000000000000004,64.0,8.0,0.01874279195378996,0.02312403899708316
47,0.36000000000000004,0.13856406460551018,28.000000000000004,55.99999999999999,16.0,0.021803675771610437,0.024090879271361672
48,0.4,0.20784609690826525,28.000000000000004,48.0,24.0,0.026731776270717558,0.024843293146477128
49,0.44000000000000006,0.27712812921102037,28.000000000000004,40.0,32.0,0.033005667707185965,0.024913548193568127
50,0.48000000000000004,0.34641016151377546,28.000000000000004,31.999999999999996,40.0,0.04025713315115247,0.024720287191146686
51,0.52,0.4156921938165305,28.000000000000004,24.0,48.0,0.048145571657029304,0.02491557646660428
52,0.56,0.48497422611928565,28.000000000000004,15.999999999999993,56.00000000000001,0.05633894543971207,0.025487910633561966
53,0.6000000000000001,0.5542562584220407,28.000000000000007,7.9999999999999964,64.0,0.06417158768320336,0.026267406419360574
54,0.64,0.6235382907247957,28.000000000000004,0.0,72.0,0.07072720269460683,0.027443637293922785
55,0.2,0.0,20.0,80.0,0.0,0.018350134921234572,0.022445226265552908
56,0.24000000000000002,0.06928203230275509,20.0,72.00000000000001,8.0,0.01551155552886635,0.02223088888767758
57,0.28,0.13856406460551018,20.0,64.0,16.0,0.01566866076929662,0.02290916455357849
58,0.32,0.20784609690826525,20.0,56.00000000000001,24.0,0.01854100597576526,0.024214489919965134
59,0.36,0.27712812921102037,20.0,48.00000000000001,32.0,0.023301047511974426,0.02523824840307536
60,0.4,0.34641016151377546,20.0,40.0,40.0,0.029320095927566084,0.025521865223745374
61,0.44,0.4156921938165305,20.0,32.00000000000001,48.0,0.036296923644672276,0.02534156117793225
62,0.48000000000000004,0.48497422611928565,20.0,24.0,56.00000000000001,0.04411136366284628,0.025283065777166117
63,0.52,0.5542562584220407,20.0,16.000000000000004,64.0,0.052465632052266085,0.025620036082340036
64,0.56,0.6235382907247957,20.000000000000007,7.9999999999999964,72.0,0.060559524369346474,0.026320451469857186
65,0.6000000000000001,0.6928203230275509,20.000000000000007,0.0,80.0,0.06736889619873376,0.027519372083940237
66,0.12,0.0,12.0,88.0,0.0,0.023236993099331228,0.020727228462590133
67,0.16,0.06928203230275509,12.0,80.0,8.0,0.01776592246071667,0.021324275955637625
68,0.2,0.13856406460551018,12.000000000000002,72.0,16.0,0.014485841847033443,0.02224596287319185
69,0.24,0.20784609690826525,12.0,64.0,24.0,0.014371380415014387,0.023652831997119542
70,0.28,0.27712812921102037,12.000000000000002,56.00000000000001,32.0,0.01694847750771175,0.025179021143039507
71,0.32,0.34641016151377546,12.0,48.0,40.0,0.02129076870790827,0.02618423581963385
72,0.36,0.4156921938165305,12.0,40.0,48.0,0.026762128596870417,0.026356633662770763
73,0.4,0.48497422611928565,12.0,31.999999999999996,56.00000000000001,0.033144491212863954,0.025905996494286966
74,0.44,0.5542562584220407,12.0,24.0,64.0,0.040591060956702965,0.02547898435712886
75,0.48,0.6235382907247957,12.0,16.000000000000004,72.0,0.0490369923909377,0.025582208406241327
76,0.52,0.6928203230275509,12.0,7.9999999999999964,80.0,0.057462615345857754,0.02612391227001243
77,0.56,0.762102355330306,12.000000000000005,0.0,88.0,0.06457290196625633,0.027258650223864176
78,0.04,0.0,4.0,96.0,0.0,0.030862542633558317,0.01973452760384302
79,0.08,0.06928203230275509,4.0,88.0,8.0,0.024709959404628827,0.019985600357689183
80,0.12,0.13856406460551018,3.9999999999999996,80.0,16.0,0.019095716377442402,0.02150475634045555
81,0.16,0.20784609690826525,4.000000000000001,72.0,24.0,0.01548752274120882,0.023106435123737074
82,0.2,0.27712812921102037,4.000000000000001,63.99999999999999,32.0,0.015150499271543202,0.024980669724987088
83,0.24000000000000002,0.34641016151377546,4.000000000000001,55.99999999999999,40.0,0.017350521652098008,0.026634208235066622
84,0.27999999999999997,0.4156921938165305,3.9999999999999982,48.0,48.0,0.02114194516682822,0.027566411116203747
85,0.32,0.48497422611928565,3.9999999999999982,39.99999999999999,56.00000000000001,0.025952641435353058,0.027596692470421073
86,0.36,0.5542562584220407,3.9999999999999982,31.999999999999996,64.0,0.03161015338657105,0.02691296207383143
87,0.39999999999999997,0.6235382907247957,3.9999999999999982,24.0,72.0,0.03839048241373168,0.02616853672895251
88,0.44,0.6928203230275509,3.9999999999999982,15.999999999999993,80.0,0.046586291297492095,0.026122890214469726
89,0.48,0.762102355330306,3.9999999999999982,7.9999999999999964,88.0,0.05498658551591796,0.026511923904024428
90,0.52,0.831384387633061,4.0000000000000036,0.0,96.0,0.06218102769382849,0.027462170935868536
