panel_number,selected_position_expression,acquisition_position_zero_based,plate_index_zero_based,well_id,PEA2PbI4_pct,BDAPbI4_pct,FAPbI3_pct,histogram_bin_center_v,dark_pixel_count,illuminated_pixel_count,dark_gaussian_fit_at_bin,illuminated_gaussian_fit_at_bin,SP_dark_v,SP_dark_fit_se_v,SP_illuminated_v,SP_illuminated_fit_se_v,delta_SP_v,delta_SP_fit_se_v
1,1,1,40,A6,36.0,32.0,32.0,-1.2666666666666666,0,9,1.23010080344975e-06,3.6942538038122617e-09,-1.9572448135899911,0.005078746749749323,-1.896593609682518,0.002681464838491423,0.06065120390747314,0.005743163085631048
1,1,1,40,A6,36.0,32.0,32.0,-1.2000000000000002,0,5,1.6293887126843932e-08,8.135370634743072e-12,-1.9572448135899911,0.005078746749749323,-1.896593609682518,0.002681464838491423,0.06065120390747314,0.005743163085631048
1,1,1,40,A6,36.0,32.0,32.0,-1.1333333333333333,0,0,1.4493294540547029e-10,9.686086724651402e-15,-1.9572448135899911,0.005078746749749323,-1.896593609682518,0.002681464838491423,0.06065120390747314,0.005743163085631048
1,1,1,40,A6,36.0,32.0,32.0,-1.0666666666666669,0,0,8.657010544459394e-13,6.23504738335894e-18,-1.9572448135899911,0.005078746749749323,-1.896593609682518,0.002681464838491423,0.06065120390747314,0.005743163085631048
1,1,1,40,A6,36.0,32.0,32.0,-1.0,0,0,3.4723795367439903e-15,2.1699591522619316e-21,-1.9572448135899911,0.005078746749749323,-1.896593609682518,0.002681464838491423,0.06065120390747314,0.005743163085631048
1,1,1,40,A6,36.0,32.0,32.0,-0.9333333333333333,0,0,9.352868824671188e-18,4.083041127309794e-25,-1.9572448135899911,0.005078746749749323,-1.896593609682518,0.002681464838491423,0.06065120390747314,0.005743163085631048
1,1,1,40,A6,36.0,32.0,32.0,-0.8666666666666666,0,0,1.6916905058467873e-20,4.153711659860367e-29,-1.9572448135899911,0.005078746749749323,-1.896593609682518,0.002681464838491423,0.06065120390747314,0.005743163085631048
1,1,1,40,A6,36.0,32.0,32.0,-0.7999999999999999,0,0,2.054732990813531e-23,2.2845955795220612e-33,-1.9572448135899911,0.005078746749749323,-1.896593609682518,0.002681464838491423,0.06065120390747314,0.005743163085631048
1,1,1,40,A6,36.0,32.0,32.0,-0.7333333333333333,0,0,1.6759007277276799e-26,6.793642885554861e-38,-1.9572448135899911,0.005078746749749323,-1.896593609682518,0.002681464838491423,0.06065120390747314,0.005743163085631048
1,1,1,40,A6,36.0,32.0,32.0,-0.6666666666666666,0,0,9.179089375219978e-30,1.092236011382759e-42,-1.9572448135899911,0.005078746749749323,-1.896593609682518,0.002681464838491423,0.06065120390747314,0.005743163085631048
1,1,1,40,A6,36.0,32.0,32.0,-0.6,0,0,3.376053505727188e-33,9.49403140293361e-48,-1.9572448135899911,0.005078746749749323,-1.896593609682518,0.002681464838491423,0.06065120390747314,0.005743163085631048
1,1,1,40,A6,36.0,32.0,32.0,-0.5333333333333333,0,0,8.33829885772727e-37,4.461749995243588e-53,-1.9572448135899911,0.005078746749749323,-1.896593609682518,0.002681464838491423,0.06065120390747314,0.005743163085631048
2,3,3,90,C12,4.0000000000000036,0.0,96.0,-2.466666666666667,154,80,0.059298782257289545,6.7461156101231994e-06,-1.7710022852257845,0.004747955231683545,-1.6808364480963693,0.005188953618839518,0.09016583712941517,0.007033371776078589
2,3,3,90,C12,4.0000000000000036,0.0,96.0,-2.4,126,85,0.3924431463953788,0.00016295749791470296,-1.7710022852257845,0.004747955231683545,-1.6808364480963693,0.005188953618839518,0.09016583712941517,0.007033371776078589
2,3,3,90,C12,4.0000000000000036,0.0,96.0,-2.333333333333333,116,81,2.147322996882789,0.0029687092776448866,-1.7710022852257845,0.004747955231683545,-1.6808364480963693,0.005188953618839518,0.09016583712941517,0.007033371776078589
2,3,3,90,C12,4.0000000000000036,0.0,96.0,-2.2666666666666666,136,108,9.714213710525629,0.040788125349711914,-1.7710022852257845,0.004747955231683545,-1.6808364480963693,0.005188953618839518,0.09016583712941517,0.007033371776078589
2,3,3,90,C12,4.0000000000000036,0.0,96.0,-2.2,163,131,36.33352917930491,0.42264192384618443,-1.7710022852257845,0.004747955231683545,-1.6808364480963693,0.005188953618839518,0.09016583712941517,0.007033371776078589
2,3,3,90,C12,4.0000000000000036,0.0,96.0,-2.1333333333333333,212,185,112.35623217783913,3.302814309491224,-1.7710022852257845,0.004747955231683545,-1.6808364480963693,0.005188953618839518,0.09016583712941517,0.007033371776078589
2,3,3,90,C12,4.0000000000000036,0.0,96.0,-2.0666666666666664,365,230,287.26082389219204,19.46563134577367,-1.7710022852257845,0.004747955231683545,-1.6808364480963693,0.005188953618839518,0.09016583712941517,0.007033371776078589
2,3,3,90,C12,4.0000000000000036,0.0,96.0,-2.0,558,261,607.2189112145271,86.52180767042297,-1.7710022852257845,0.004747955231683545,-1.6808364480963693,0.005188953618839518,0.09016583712941517,0.007033371776078589
2,3,3,90,C12,4.0000000000000036,0.0,96.0,-1.9333333333333333,981,386,1061.2160945501848,290.03835173151293,-1.7710022852257845,0.004747955231683545,-1.6808364480963693,0.005188953618839518,0.09016583712941517,0.007033371776078589
