kpfm_metric,pl_metric,n,pearson_r,pearson_p,pearson_ci_low,pearson_ci_high,pearson_bootstrap_valid,spearman_rho,spearman_p,spearman_ci_low,spearman_ci_high,spearman_bootstrap_valid,spearman_loo_low,spearman_loo_high,composition_controls,effective_control_count,partial_n,partial_pearson_r,partial_pearson_p,partial_spearman_rho,partial_spearman_p,spearman_q_bh,partial_spearman_q_bh,association_is_exploratory,causal_claim_supported
photovoltage_abs_V,frac_low_n_1_to_4,13,0.08619123774979633,0.7794972649594373,-0.525985128103081,0.6086814541317682,1000,0.11576369428032278,0.706466816479199,-0.5457335418504828,0.6787878077404923,1000,-0.03269162856415295,0.22812706556206355,PEA_pct;BDA_pct,2,13,0.2489168136686049,0.4604576707621983,0.2467189048145827,0.4645567946089988,0.8901794337344491,0.6689617842369583,True,False
mu_dark_V,Top_PL_peak_intensity,13,0.04652521946877178,0.8800338343663366,-0.4833107715924283,0.5873922221904683,1000,0.21978021978021978,0.4706148514721425,-0.3486583491335253,0.7014502702489446,1000,0.09090909090909093,0.4125874125874127,PEA_pct;BDA_pct,2,13,0.3065247987278662,0.35924534714785306,0.48503157131497077,0.13048681899480477,0.7487986898750445,0.38972449444549806,True,False
mu_dark_V,dominant_peak_nm,13,-0.2900751556208079,0.33635725121015825,-0.7820141202180562,0.2636228222348789,1000,-0.43094580368566726,0.14152081411572429,-0.8447673904032283,0.19298719832691524,1000,-0.6267761055315589,-0.3187395430939476,PEA_pct;BDA_pct,2,13,-0.3957826212678863,0.22823970125556334,-0.42592188331760306,0.19150073429536965,0.4944432874513917,0.4055309667431357,True,False
mu_dark_V,frac_n=1-like / 2D,13,-0.10322366632289004,0.7371911590573414,-0.6192201326040797,0.4663185007577375,1000,-0.07959171834405433,0.7960477431105462,-0.6563425303491952,0.48965733938838807,1000,-0.24337101264424968,0.10039002508706064,PEA_pct;BDA_pct,2,13,-0.23641077452314302,0.48400142107858013,-0.27453437537178116,0.41393732292051033,0.8901794337344491,0.6394166933648742,True,False
mu_dark_V,frac_n=2-like,13,0.6317190780487925,0.020554994339730372,0.34035812034096036,0.8694140266545926,961,0.6836606647876081,0.009979774280808375,0.31236433187866713,0.8801408338010137,968,0.5698101270440251,0.7526737802859004,PEA_pct;BDA_pct,2,13,0.6380341332318854,0.034658829808335415,0.6807447519115718,0.02112434411528261,0.28916709163698495,0.2077535831129541,True,False
mu_dark_V,frac_n=3-like,13,0.5464423275495895,0.05333143483499721,0.24858041424519342,0.8463793369826708,999,0.6170729635838741,0.024657982019810037,0.11924816162473477,0.8763318626644595,996,0.5200574374831308,0.7330117134731072,PEA_pct;BDA_pct,2,13,0.5577659017631302,0.07459912237085088,0.6009525060192437,0.050539641394053855,0.28916709163698495,0.2599181557408484,True,False
mu_dark_V,frac_n=4-like,13,0.07010162204177851,0.8199840438305284,-0.25478153962316774,0.6709334566953691,991,0.48989978717816496,0.08924264483696007,-0.009180532842596564,0.7695283420631558,988,0.41305268430323794,0.6608842948851807,PEA_pct;BDA_pct,2,13,0.007959766071961229,0.9814693671603784,0.4523921346578517,0.16238520601895753,0.45896217344722323,0.38972449444549806,True,False
mu_dark_V,frac_n>=5 / high-n,13,0.08390222251358113,0.7852283982483363,-0.3901271242503432,0.4761743724438277,1000,0.0776510437863727,0.8009299239029849,-0.5036173961864856,0.6484619103820431,999,-0.0935759634220988,0.22020751415008993,PEA_pct;BDA_pct,2,13,0.18959501165438875,0.5766022512785505,0.2068231303242293,0.5417438980041064,0.8901794337344491,0.7501069356979934,True,False
mu_dark_V,frac_3D / 3D-like,13,-0.1591286596069625,0.603576318363285,-0.7671501156434818,0.42047924736531817,1000,-0.04045566970313674,0.8956017380741927,-0.6654519359187198,0.5977767257745883,1000,-0.23513683714331635,0.09426479189556485,PEA_pct;BDA_pct,2,13,-0.15955510500746653,0.6393467323255696,0.10385241638548846,0.7612277234564063,0.9211903591620269,0.8617324096020214,True,False
mu_dark_V,frac_low_n_1_to_4,13,0.09901108291733543,0.7475961102913987,-0.49426865029425276,0.6262703657781549,1000,0.05788184714016139,0.8510153281288328,-0.5458840119866253,0.6391819082203215,1000,-0.10077293020427842,0.23247380312286534,PEA_pct;BDA_pct,2,13,0.054193871676162166,0.874256698322095,-0.09856166623629067,0.7731096304322009,0.9010750533128818,0.8617324096020214,True,False
mu_light_V,Top_PL_peak_intensity,13,0.1713179371920899,0.575737860517029,-0.33905435413112617,0.6491204675594742,1000,0.2857142857142857,0.3440002182586698,-0.2793463687150838,0.6885010026737967,1000,0.17482517482517487,0.44055944055944063,PEA_pct;BDA_pct,2,13,0.28218949293373885,0.4004980532115509,0.5235650601223539,0.09835181075082161,0.6758948950553526,0.3540665187029578,True,False
mu_light_V,dominant_peak_nm,13,-0.30317519439687707,0.31396757135970055,-0.7937163538253661,0.34904945016875105,1000,-0.3480716106691928,0.2438412933096207,-0.8477795663289461,0.24860576560484,1000,-0.5915639647713589,-0.21716320518488735,PEA_pct;BDA_pct,2,13,-0.4003802372783427,0.22238775549014703,-0.5475594762885551,0.08123519802582407,0.5486429099466466,0.3249407921032963,True,False
mu_light_V,frac_n=1-like / 2D,13,-0.01763127135396278,0.9544109356620532,-0.5782713990927848,0.5706558749879906,1000,0.005685122738861024,0.9852938724178023,-0.5480695678378372,0.5566384573737191,1000,-0.13439891743040652,0.18162015868973858,PEA_pct;BDA_pct,2,13,-0.13006972313119816,0.703072252117244,-0.0487177605158189,0.886888363962811,0.9852938724178022,0.886888363962811,True,False
mu_light_V,frac_n=2-like,13,0.57908707484785,0.03809434792311045,0.2513809749638185,0.8647444239266835,970,0.59448753459792,0.03212967684855388,0.17151834209771605,0.8626514191419952,966,0.4407965133736798,0.6976000890454686,PEA_pct;BDA_pct,2,13,0.5792763613076664,0.0618239560874641,0.613463676972294,0.04471590702599514,0.28916709163698495,0.2599181557408484,True,False
mu_light_V,frac_n=3-like,13,0.46346748685727535,0.11068651851032449,0.027097529008512946,0.7909521333885845,999,0.43852900965351466,0.13387820431493608,-0.08539476621499012,0.8228245697016743,997,0.29123216499055327,0.577051774436276,PEA_pct;BDA_pct,2,13,0.4570328846737885,0.1575821158018207,0.4618352314350393,0.1527057883295198,0.4944432874513917,0.38972449444549806,True,False
mu_light_V,frac_n=4-like,13,-0.06569187087788089,0.8311568003999604,-0.47126351137926786,0.6625713248184747,992,0.2415944155947115,0.4264987754222711,-0.35885816361042894,0.7382385568416046,993,0.11932633102093541,0.5415579638642454,PEA_pct;BDA_pct,2,13,-0.07390798163233371,0.8290188411901562,0.26761092581696133,0.4262777955765828,0.7487986898750445,0.6394166933648742,True,False
mu_light_V,frac_n>=5 / high-n,13,0.01593035506271763,0.9588054572493621,-0.42967683807475576,0.4775641575367413,1000,0.07167788657203635,0.8159978142565784,-0.4994010561958761,0.5726985338399369,1000,-0.07018197256657412,0.24173790550708862,PEA_pct;BDA_pct,2,13,0.09459537180151473,0.7820459892048461,0.1001790300375695,0.7694726131827998,0.8901794337344491,0.8617324096020214,True,False
mu_light_V,frac_3D / 3D-like,13,-0.16621006996659757,0.5873402095054155,-0.8009582932403144,0.47677428319735,1000,-0.08958041148551707,0.7710304914480205,-0.696113041194627,0.5593699481479765,1000,-0.33590976734759476,0.06344962272121234,PEA_pct;BDA_pct,2,13,-0.16128248087303837,0.6356757721112959,-0.08396930122351753,0.8061015607652815,0.8901794337344491,0.8617324096020214,True,False
mu_light_V,frac_low_n_1_to_4,13,0.12950340096158008,0.6732685960053727,-0.5064575098653151,0.6616976028654268,1000,0.08682277071024208,0.7779178531420482,-0.4844240300523478,0.6449436577344095,1000,-0.06731618328060893,0.30605112136114193,PEA_pct;BDA_pct,2,13,0.11313635823100072,0.7404907390788187,0.08389421625839363,0.8062721019279776,0.8901794337344491,0.8617324096020214,True,False
